key,score
258918,0.9162306
258134,1.0
165265,0.21649143
522141,0.9977921
569662,0.99983287
556369,0.9999925
426252,0.99999833
523369,3.2391079e-09
128768,0.9967319
479474,0.9986444
319766,0.99997115
400573,3.739678e-09
521741,0.24042998
172287,0.9753519
195129,3.8395643e-05
121076,0.8781558
18000,0.86496794
573718,0.0055108806
255910,0.9897321
427444,0.9958468
289547,0.8220556
126997,1.0
452834,0.0021582383
152236,0.039742336
147696,0.80406696
574280,0.037014995
263979,0.9999608
342576,0.9276666
122740,1.0
94522,0.9951165
193528,1.6724744e-06
283679,1.0666856e-07
309557,0.99907553
393982,1.0
395787,0.35448122
428686,0.43540624
546489,3.3120784e-06
166263,6.841739e-05
453352,0.12773412
68836,0.99423176
69941,0.9997409
480,1.0
552162,1.5283136e-06
212516,0.52877766
519215,0.0014072653
387174,0.0014108709
453450,4.5419193e-11
378816,5.2807307e-11
428171,0.8495562
203413,0.04507879
554832,0.9999747
107213,9.153772e-05
4905,2.2382316e-13
74170,0.9999989
170306,0.50230324
23003,0.9999956
580325,0.000244888
18031,0.9786041
568458,0.09126061
570891,0.62779284
452158,0.04685389
180169,0.99953306
518995,9.9105684e-08
148214,0.00010578596
68801,7.312865e-08
82068,0.04981424
333194,0.41016498
113278,0.8324661
426445,0.014684938
82037,0.995233
380884,0.9991517
401307,0.8848258
124023,0.37579295
510315,0.42704153
51023,0.99510044
157672,0.76127625
273559,0.90951836
366464,7.4685075e-10
208100,0.0024895084
174710,1.0
415176,0.119873695
274275,0.5521331
11445,0.010392609
486912,6.199306e-09
100215,0.99999166
111260,1.0
306571,0.7373926
498342,0.9375273
91009,0.9997944
523355,0.002621926
524864,1.0
434537,0.00089045364
159320,0.97725475
492275,0.014028199
571474,0.058283754
456492,6.012508e-08
227245,1.1426346e-12
533713,4.4051e-08
439327,2.3187205e-10
136879,0.9999851
266731,6.7764294e-11
195973,0.999559
265475,1.01260336e-13
391972,0.9999999
554045,0.9996289
121483,0.24584979
441455,0.00053741236
122386,1.0
382689,0.85437626
153316,0.9853816
508308,0.49881408
370580,3.1557924e-13
510905,0.0068751443
37663,1.0
381601,1.0
261581,0.091399975
166382,0.0018222843
409932,0.0021575985
58296,0.97526205
230443,0.99993134
550973,1.0
565952,0.9999434
92102,0.53470314
80501,0.98727083
507936,3.3373396e-14
118171,0.99859387
224139,0.99895084
315225,0.86342776
294909,7.15694e-11
314035,0.6826599
331394,0.99687517
101629,0.9926796
256282,7.201973e-06
472630,0.99996614
304582,0.9944674
131792,0.010804303
322436,0.9270612
310418,0.0931136
517761,0.0060137147
148736,0.99999976
448003,3.6498273e-11
291596,3.0006544e-09
252881,0.957534
561356,0.0022204681
146158,0.9500949
420489,7.2985196e-10
196774,0.99984646
304538,0.7509491
94865,0.9999927
370607,0.9146421
269269,1.76127e-05
371185,0.027550258
85471,0.9882074
151412,1.060696e-06
376409,0.022317965
473025,0.9995721
145221,0.86953443
179258,0.3243351
236276,0.9042083
300524,1.1894938e-09
538481,0.26623818
23149,0.45863146
228043,0.8639755
500323,0.017567342
563124,0.043580294
538915,0.09682297
341184,0.0028500368
22604,0.994476
539098,0.8986435
416925,0.03082223
428435,0.0028020737
475823,4.655039e-07
251145,1.3831736e-08
124386,0.13236386
69345,0.991804
64133,0.75377613
375694,0.99999976
509369,5.0004082e-06
445418,1.9741356e-05
543394,3.0719854e-11
539994,2.9699934e-12
520358,0.00041705885
24517,0.9998265
388874,1.0
456661,3.087478e-05
301696,0.9998555
47015,0.99999964
217181,0.9999906
199752,6.2660138e-06
291001,0.0025854215
285435,3.818553e-09
367588,0.9999546
307885,0.9564898
575060,3.8063958e-05
288955,0.9170726
157576,0.99725217
57978,0.9945628
451346,0.1269371
205222,0.9980502
66439,1.0
84327,1.0
457794,0.0072095594
362729,0.35991335
291448,0.9391691
2178,0.0013774276
562957,0.59813976
41599,1.5360156e-06
430164,0.96377325
233158,0.9922551
116856,0.042598672
327489,0.9999963
376203,0.54160535
244067,1.0663185e-09
43442,0.99991035
505496,0.0035517325
251474,0.02695684
413108,0.9999765
139998,0.9999999
458270,0.003529511
528113,3.422127e-05
27004,0.9999999
153293,0.85192126
24623,0.999943
302078,0.0036270733
566557,0.99465996
453089,1.182717e-07
175866,0.2762179
163857,0.9980342
94927,0.93185073
316118,0.999961
37990,0.99991465
120381,0.9936913
207661,0.00040451947
410131,0.61723036
