key,score
258918,0.11144797
258134,0.7658727
165265,0.8125084
522141,0.2560521
569662,0.7065015
556369,0.48955905
426252,0.762232
523369,0.040699273
128768,0.90115726
479474,0.59868133
319766,0.7106597
400573,0.013532226
521741,0.629195
172287,0.52066004
195129,0.3187216
121076,0.79386336
18000,0.7946342
573718,0.18373372
255910,0.6906054
427444,0.6320284
289547,0.78512645
126997,0.7637851
452834,0.18200889
152236,0.3669662
147696,0.37179834
574280,0.62826407
263979,0.64169824
342576,0.7675003
122740,0.85744154
94522,0.73035014
193528,0.10441995
283679,0.03232198
309557,0.7881985
393982,0.86750495
395787,0.33108565
428686,0.684915
546489,0.07733329
166263,0.5254138
453352,0.17597947
68836,0.81498975
69941,0.9116914
480,0.7500348
552162,0.16875261
212516,0.29472542
519215,0.26414964
387174,0.39212787
453450,0.05984766
378816,0.032564387
428171,0.56048137
203413,0.3846276
554832,0.4891029
107213,0.16929846
4905,0.010766768
74170,0.8234705
170306,0.7690357
23003,0.81868505
580325,0.78069484
18031,0.7870104
568458,0.7252578
570891,0.5741587
452158,0.23251161
180169,0.21302596
518995,0.19971885
148214,0.39369908
68801,0.4328087
82068,0.6086447
333194,0.46510372
113278,0.8027739
426445,0.4625419
82037,0.81485677
380884,0.28832635
401307,0.31787798
124023,0.9012531
510315,0.68674666
51023,0.8975246
157672,0.73553145
273559,0.6448693
366464,0.13400285
208100,0.17058423
174710,0.64837575
415176,0.5998842
274275,0.06286009
11445,0.6998137
486912,0.033931796
100215,0.7974552
111260,0.792628
306571,0.45554492
498342,0.5883778
91009,0.91153365
523355,0.154767
524864,0.636546
434537,0.47456583
159320,0.54116994
492275,0.583826
571474,0.7678273
456492,0.030387413
227245,0.024719177
533713,0.16677706
439327,0.07458482
136879,0.8166369
266731,0.035202295
195973,0.38693333
265475,0.028301705
391972,0.5386583
554045,0.48797497
121483,0.8863958
441455,0.61683756
122386,0.8274488
382689,0.31842682
153316,0.7303091
508308,0.064826675
370580,0.035519257
510905,0.51710904
37663,0.89565814
381601,0.7801231
261581,0.767023
166382,0.30496988
409932,0.3139761
58296,0.89349973
230443,0.7065015
550973,0.8062608
565952,0.7393411
92102,0.4300877
80501,0.7730403
507936,0.038422626
118171,0.789598
224139,0.66341347
315225,0.45990595
294909,0.03083927
314035,0.5941909
331394,0.5541931
101629,0.81869537
256282,0.26319724
472630,0.2836359
304582,0.53906626
131792,0.46261474
322436,0.55185735
310418,0.59591126
517761,0.24399157
148736,0.8951161
448003,0.03309208
291596,0.012657958
252881,0.5802779
561356,0.72009647
146158,0.7217585
420489,0.052045893
196774,0.6725129
304538,0.7071126
94865,0.7307544
370607,0.28344774
269269,0.09999193
371185,0.6118916
85471,0.7559908
151412,0.15182708
376409,0.7461629
473025,0.22725491
145221,0.7445979
179258,0.6485438
236276,0.74630374
300524,0.2144845
538481,0.13443224
23149,0.7606783
228043,0.6356152
500323,0.7368808
563124,0.6430597
538915,0.10861277
341184,0.6446692
22604,0.8141656
539098,0.40121546
416925,0.19898516
428435,0.7603536
475823,0.030292109
251145,0.041431803
124386,0.89687586
69345,0.78190345
64133,0.7768775
375694,0.70176476
509369,0.3752612
445418,0.23575622
543394,0.23317105
539994,0.051320974
520358,0.36798143
24517,0.7701946
388874,0.90490437
456661,0.3096104
301696,0.64990735
47015,0.89988816
217181,0.73634493
199752,0.15926814
291001,0.6575784
285435,0.03755864
367588,0.17424215
307885,0.74373895
575060,0.14897797
288955,0.07606797
157576,0.6869593
57978,0.8041703
451346,0.1392948
205222,0.74262404
66439,0.77371615
84327,0.9061691
457794,0.4516163
362729,0.61330247
291448,0.683991
2178,0.037764184
562957,0.60181355
41599,0.25940412
430164,0.62558293
233158,0.77350134
116856,0.29142562
327489,0.7515399
376203,0.23425746
244067,0.023006607
43442,0.8042751
505496,0.72723734
251474,0.61152524
413108,0.7339628
139998,0.7005802
458270,0.2550088
528113,0.38738942
27004,0.81908596
153293,0.7554353
24623,0.91004664
302078,0.62231874
566557,0.72947645
453089,0.033054963
175866,0.299889
163857,0.65074766
94927,0.9072734
316118,0.1556622
37990,0.7599183
120381,0.9040257
207661,0.5855331
410131,0.21166237
350347,0.15714762
491432,0.08648618
139266,0.908093
256430,0.74150443
409075,0.71655923
360951,0.5865701
187633,0.7635168
98874,0.25168654
181490,0.19680113
40044,0.8489416
555594,0.33408302
280578,0.7482632
528162,0.2500915
204981,0.1438104
17682,0.8137354
74784,0.763729
194995,0.73671657
381502,0.022891872
47963,0.77152604
44226,0.8028713
230286,0.7628627
179095,0.2048643
107048,0.7721024
221509,0.38902572
101210,0.7579118
374912,0.14660558
432655,0.2949446
369136,0.589649
383742,0.18539192
319067,0.50206375
383449,0.040674508
291339,0.35238162
380955,0.7745046
97369,0.90973234
31279,0.82721746
30346,0.7749111
306019,0.43520746
458762,0.10366082
468377,0.690083
106794,0.7964706
494558,0.7029387
431919,0.6704951
83116,0.90075743
26180,0.7281044
225317,0.023771722
217243,0.008424975
247784,0.02877437
509785,0.7694882
278373,0.044312775
423860,0.12732023
249468,0.015753774
237724,0.7532234
42735,0.81528425
128246,0.7564951
481822,0.24754363
418860,0.4040427
96369,0.33244112
400841,0.7594528
571986,0.57044554
178191,0.7041478
525372,0.5015537
568962,0.7158579
428405,0.70273477
481473,0.042107496
57662,0.79928905
511568,0.19162564
249811,0.72324675
104570,0.798029
281830,0.020117242
388622,0.5969502
57203,0.34141195
225295,0.6284303
458184,0.45141652
548656,0.41246533
130431,0.7849704
263770,0.22148173
146157,0.71679556
546815,0.2946327
39685,0.36278057
278962,0.04601525
334209,0.6971595
34297,0.6159345
349799,0.6997895
580966,0.052012958
408662,0.15291937
69462,0.7578581
2356,0.70179373
276744,0.023805205
381534,0.3796451
14475,0.35067913
157664,0.728517
419178,0.64780694
268461,0.62974906
165930,0.43209574
54263,0.21695377
429729,0.6181842
373652,0.19092168
513202,0.74170685
527200,0.045015883
572775,0.34253475
49546,0.8765772
461195,0.1813921
181410,0.68168277
576472,0.049104698
554942,0.18445247
463189,0.26729682
117788,0.6186396
381704,0.75746447
140108,0.79915303
316400,0.5840072
541482,0.060104817
169973,0.6187396
539220,0.05992627
11090,0.1509406
308006,0.5476221
457903,0.75817645
552834,0.27745092
311791,0.7412537
225367,0.013388194
78046,0.7475429
38993,0.7813156
152381,0.8056226
531196,0.08485641
436930,0.017936291
232347,0.7519315
84424,0.85925585
561016,0.4012004
531059,0.36179763
463936,0.74827534
519095,0.66840976
127634,0.776785
563167,0.74861765
455108,0.22374524
314860,0.6327737
563137,0.20638838
51408,0.8997797
127465,0.761585
450839,0.5616607
563682,0.7265313
303931,0.5472411
67153,0.20820224
88079,0.731432
486215,0.09532199
487389,0.73120344
31973,0.6663652
306040,0.41460007
523026,0.7146179
208313,0.35090092
329576,0.774006
171963,0.37625676
60488,0.37033588
128946,0.70175594
39887,0.88715035
90204,0.62464154
567539,0.07152435
219667,0.44332266
359817,0.19829905
293058,0.04538679
110938,0.8206411
350388,0.53055537
167043,0.59333354
168779,0.49239093
332757,0.87731224
152349,0.9100274
522520,0.24389993
66252,0.7792799
12808,0.07909223
383907,0.7265313
567602,0.74319035
569776,0.5983873
267304,0.03824421
290448,0.2945257
478962,0.62618387
455040,0.18422346
332552,0.6675786
399017,0.6909022
118974,0.9037919
354857,0.38840154
17187,0.78995097
272347,0.17611714
202992,0.19535749
555386,0.44763145
415933,0.6255374
78078,0.7017491
128353,0.76949817
70201,0.9143198
170805,0.43151346
567283,0.57459587
22767,0.8142186
94206,0.77210295
389507,0.8616026
211741,0.09097829
399095,0.53167206
94449,0.7979601
180437,0.5346602
358346,0.19762969
268055,0.811853
386221,0.7944122
98156,0.70938426
419458,0.59774894
31288,0.81949985
249598,0.7112151
91668,0.78397554
533643,0.2404292
365656,0.023817085
222863,0.799762
29804,0.8975246
113540,0.78305936
557573,0.8610679
484527,0.34726268
297268,0.2312911
21195,0.8040321
481542,0.3126641
171670,0.34308487
574831,0.17424014
5610,0.14127587
29493,0.7852617
135402,0.29801798
310682,0.8039642
258969,0.038926937
211390,0.7340301
34108,0.7608491
546487,0.0772816
494621,0.2517194
27134,0.72866756
13608,0.75204325
287315,0.79544085
215734,0.053825717
417202,0.6087136
471306,0.10141498
405922,0.16283903
248279,0.018909246
53817,0.89399034
258681,0.7381062
552262,0.5601802
100589,0.60642
414366,0.4015651
182681,0.554386
279736,0.049950805
455963,0.080022074
303993,0.59279263
311544,0.67794585
107815,0.7710781
495774,0.62947065
182033,0.5343863
439646,0.16070427
421559,0.34516743
421359,0.75997365
57337,0.7732739
481596,0.36095765
528012,0.1718087
328015,0.7534159
224232,0.74064827
244414,0.6293782
288942,0.18785271
471591,0.32591486
345558,0.49589527
70685,0.40626946
474819,0.049365006
10317,0.149074
504220,0.34171516
474786,0.36935112
481686,0.5507499
357546,0.59028447
413833,0.79963565
429930,0.6564266
176415,0.21759361
386135,0.021330599
416151,0.18827699
99993,0.36375543
482973,0.018036073
382338,0.750117
38428,0.91204643
406292,0.26298642
395771,0.09484413
2007,0.68468434
251450,0.7371597
254669,0.66841596
32157,0.91070414
508721,0.7747061
411843,0.7006397
506262,0.59725636
49078,0.13859367
222027,0.6849485
573712,0.13657737
200081,0.14439115
483746,0.3092313
35601,0.772561
63626,0.9000657
72814,0.38337764
460823,0.35990888
553342,0.8342063
67361,0.9052125
356771,0.20199157
169168,0.7860499
92974,0.85255563
462966,0.5581309
531405,0.676316
69029,0.777139
121717,0.7094051
135240,0.7097698
474978,0.36297482
490462,0.5780691
492272,0.4313736
54128,0.8863324
505895,0.18074912
166478,0.57372713
97115,0.90823555
100423,0.7321319
572584,0.3405241
560471,0.25390917
499419,0.32567886
367497,0.5680596
200396,0.15527534
559729,0.04076487
572778,0.15152726
481329,0.38641167
160716,0.5976657
201247,0.25679916
175158,0.71837395
10788,0.19383432
133946,0.7429914
318538,0.71561587
298096,0.038103193
68367,0.9056277
41297,0.79140073
266772,0.031057537
468208,0.43829817
30904,0.7964738
123875,0.5103719
434713,0.6040753
324630,0.7942762
19906,0.7912868
138723,0.4223112
551527,0.77881306
405046,0.62461853
72384,0.7642993
197616,0.24922587
542594,0.03218025
491954,0.31237173
578356,0.18620767
94724,0.76754725
8472,0.7765387
192653,0.25301868
270111,0.028814437
134367,0.5630322
313415,0.3694698
17077,0.84609604
465267,0.39517757
547902,0.25451872
45649,0.8511233
423863,0.15183936
311126,0.35106158
171975,0.16640581
489284,0.58953774
477521,0.6043928
329361,0.20595059
234889,0.7363315
400306,0.71813196
151498,0.35286626
132783,0.77404875
407149,0.50712156
403331,0.35067913
529487,0.23194602
259782,0.70494527
563990,0.764699
33798,0.8366792
355889,0.43131015
413564,0.30499178
276701,0.037766214
373158,0.6173429
157289,0.65068
178929,0.44019815
565555,0.76594734
220485,0.6964058
86864,0.72612935
435268,0.068137124
82286,0.80522066
215758,0.07819128
498116,0.70381516
522929,0.19126642
364278,0.6390996
553991,0.3467704
534919,0.37984383
6748,0.46702242
163825,0.41436136
321768,0.7199163
150900,0.62692726
514541,0.41574574
514104,0.04785647
409341,0.12116215
214766,0.7593821
262848,0.34776685
410516,0.15465865
380525,0.23570122
126703,0.46896964
467099,0.0361092
221419,0.05888746
405406,0.1976165
442806,0.641585
387974,0.5274143
486876,0.34516352
74179,0.77651286
166597,0.74375826
248786,0.03181082
330107,0.5830445
361713,0.5647307
154186,0.6959785
433283,0.28621855
272294,0.029633425
350748,0.66932887
203506,0.19165298
541801,0.1117877
410118,0.15842615
233811,0.66352856
87149,0.75794023
322724,0.40073806
223900,0.59142774
70020,0.75037897
279367,0.7958279
464270,0.4152796
335454,0.065849185
569009,0.7156765
431149,0.66044074
276340,0.42445052
514365,0.35581362
31449,0.7864183
429068,0.07147038
199784,0.3985366
279461,0.044665556
42943,0.71602845
491121,0.31271538
424955,0.11200884
495272,0.61867446
501152,0.34817037
484074,0.27609202
526709,0.07135039
444481,0.5706266
200782,0.63164574
112645,0.91197604
315449,0.13247843
454167,0.3883973
203772,0.20101403
436046,0.6505263
248111,0.7337333
249038,0.68129957
246658,0.022516724
120813,0.80621105
462900,0.63443553
373552,0.24609359
500297,0.42844242
319076,0.5680318
399918,0.1682141
141762,0.3405046
210488,0.6773341
416674,0.54111964
305012,0.6528746
253051,0.04616189
180537,0.21283095
413680,0.39255732
330792,0.27113017
74775,0.73145634
475995,0.76000625
325819,0.48887008
102683,0.9099521
388408,0.21391763
100969,0.76551765
462595,0.041825723
427914,0.72490984
157165,0.7944579
494625,0.3664054
551794,0.25070995
16480,0.76482004
93074,0.9051696
173970,0.3856549
397801,0.021388097
320089,0.22017127
498464,0.41715947
516892,0.67137754
502208,0.73404026
543731,0.23285754
172578,0.45889527
510985,0.30398473
222467,0.6933143
215879,0.20024088
308418,0.62060255
114565,0.7301316
110356,0.8166369
192360,0.12592413
484921,0.029861256
267511,0.75693554
1780,0.22069286
360988,0.16316134
368868,0.4165524
330168,0.78255737
58493,0.63958174
508958,0.1723651
498384,0.43263903
287282,0.325186
500728,0.5721485
445317,0.4658847
484267,0.1213157
41138,0.89934623
156891,0.7921067
272823,0.04033513
177536,0.23676905
123898,0.706233
313849,0.6938368
9742,0.007946748
40255,0.7807068
257187,0.75288683
563969,0.6479463
162112,0.7935991
209255,0.13128799
11112,0.3496514
235028,0.016714308
75616,0.9015085
435886,0.012872725
256459,0.6519499
156272,0.42955792
274255,0.6534775
277661,0.7527814
251099,0.81356734
276610,0.04028491
403811,0.5127023
50605,0.8866443
430840,0.57844484
512393,0.43289232
105682,0.7251328
343000,0.74371034
34449,0.7840142
170264,0.60043186
47867,0.80905116
6637,0.8165861
227876,0.67616624
392372,0.636526
393687,0.4550066
481508,0.27445498
52103,0.8986722
77653,0.90115726
572510,0.012229357
267603,0.7901199
435951,0.57844484
172871,0.64742535
317627,0.71514136
228036,0.751024
52009,0.8885089
165411,0.4324268
135962,0.7913866
350513,0.42534283
286325,0.086531356
106371,0.80667394
373825,0.76381963
194090,0.05654011
102760,0.81247133
308596,0.76093256
511384,0.24342962
470062,0.38372636
435046,0.5659488
87196,0.90704983
75181,0.87182415
12817,0.05690944
103218,0.7018204
195711,0.21996777
110932,0.8105542
350010,0.65504694
523561,0.718172
258101,0.6493207
515072,0.040668964
237068,0.8230946
24240,0.76404274
261100,0.03020223
273324,0.020568186
420041,0.32229558
155840,0.6680143
26687,0.8064809
393203,0.36070454
183502,0.56097597
287599,0.14647761
169587,0.44762105
385200,0.5125302
34058,0.7622962
387196,0.52632487
243333,0.74113685
197846,0.23079398
